842	473
842	467
842	459
842	450
842	442
842	434
842	427
842	419
842	410
842	402
842	394
842	386
842	379
842	370
842	362
842	354
842	346
842	339
842	330
842	322
842	314
842	306
842	299
842	290
842	282
842	274
842	266
842	259
842	250
842	242
842	234
842	226
842	219
842	210
842	202
842	194
842	186
842	178
842	170
842	162
842	154
842	146
842	138
842	130
842	122
842	114
842	106
842	98
842	90
842	82
842	74
842	66
842	57
842	50
842	42
842	34
842	26
842	17
842	10
834	10
825	10
816	10
806	10
797	10
788	10
779	11
770	11
761	11
752	11
743	11
733	11
724	12
715	12
706	12
697	12
688	13
679	13
670	13
660	14
651	14
642	14
634	14
625	14
617	14
608	14
598	14
590	14
581	14
573	14
564	14
555	14
547	14
538	14
528	14
520	14
511	14
503	14
494	14
485	14
477	14
468	14
459	14
450	14
441	14
433	14
424	14
415	14
407	14
397	14
389	14
380	14
371	14
363	14
354	14
346	14
337	14
327	14
319	14
310	14
302	14
293	14
284	14
276	14
267	14
257	14
249	14
240	14
232	14
223	14
214	14
206	14
196	14
187	13
178	13
169	13
160	13
151	12
142	12
133	12
123	12
114	11
105	11
96	11
87	11
78	11
69	10
59	10
50	10
41	10
32	10
23	10
14	10
14	17
14	26
14	34
14	42
14	50
14	57
14	66
14	74
14	82
14	90
14	98
14	106
14	114
14	122
14	130
14	138
14	146
14	154
14	162
14	170
14	178
14	186
14	194
14	202
14	210
14	219
14	226
14	234
14	242
14	250
14	259
14	266
14	274
14	282
14	290
14	299
14	306
14	314
14	322
14	330
14	339
14	346
14	354
14	362
14	370
14	379
14	386
14	394
14	402
14	410
14	419
14	426
14	434
14	442
14	450
14	459
14	467
14	473
14	473
23	473
32	473
41	473
50	473
59	473
69	472
78	472
87	472
96	472
105	472
114	472
123	471
133	471
142	471
151	471
160	470
169	470
178	470
187	469
196	469
206	469
214	469
223	469
231	469
240	469
249	469
257	469
267	469
276	469
284	469
293	469
301	469
310	469
319	469
327	469
337	469
346	469
354	469
363	469
371	469
380	469
389	469
397	469
407	469
415	469
424	469
433	469
441	469
450	469
459	469
468	469
477	469
485	469
494	469
503	469
511	469
520	469
529	469
538	469
547	469
555	469
564	469
573	469
581	469
590	469
598	469
608	469
617	469
625	469
634	469
643	469
651	469
660	469
670	470
679	470
688	470
697	470
706	471
715	471
724	471
733	471
743	472
752	472
761	472
770	472
779	472
788	473
797	473
806	473
